,CompanyName,Cusine,Importance,Address,PhoneNumber,Website,NumReviews,Overall,PriceRange,Prices,Puntuation
1066,Harnold's Ristopub,"['Italian', ' Bar', ' Pub']","#1,102 of 2,742 Restaurants in Naples","Via Mario Fiore 37, 80129, Naples Italy",+39 081 556 6711,http://www.facebook.com/Harnolds1989,234,3.5,€5 - €23,Na,"['89', '63', '31', '18', '33']"
1067,Da Michele Al Villino,"['Reservations', ' Seating', ' Highchairs Available', ' Wheelchair Accessible', ' Serves Alcohol', ' Table Service']","#1,103 of 2,742 Restaurants in Naples","Via Camillo Guerra 42, 80131, Naples Italy",+39 081 587 1377,http://www.facebook.com/Ristorante-da-Michele-al-Villino-1602077733345919/,139,3.5,Na,Na,"['55', '34', '23', '12', '15']"
1068,Pizza e Baba,['Vegetarian Friendly'],"#1,104 of 2,742 Restaurants in Naples","Via Montecalvario 3/4, Naples Italy",+39 081 415244,http://www.pizzaebaba.com/,1009,3.0,Na,"[8.0, 7.0, 18.0, 3.0]","['35', '51', '28', '19', '33']"
1069,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#355 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
1070,Al Caminetto,"['Lunch', ' Dinner', ' Late Night']","#1,108 of 2,742 Restaurants in Naples","Via Manzoni, 81, 80122, Naples Italy",+39 081 644656,https://www.facebook.com/ristorantepizzeriaalcaminetto/,609,3.5,Na,Na,"['8', '1', '0', '0', '0']"
1071,Villa Fattorusso,['Vegan Options'],"#1,109 of 2,742 Restaurants in Naples","Via Posillipo 68, 80122, Naples Italy",+39 344 190 6858,https://www.facebook.com/villafattorusso/,76,4.0,Na,Na,"['0', '1', '0', '0', '1']"
1072,Cicerenella Risto&Pub,"['Italian', ' Bar', ' Pub']","#1,110 of 2,742 Restaurants in Naples","Via San Gennaro Al Vomero 9/B Vomero, Traversa Di Via Bernini, 80129, Naples Italy",+39 327 351 7452,http://www.facebook.com/cicerenellaristopub,32,4.5,€10 - €15,Na,"['0', '1', '0', '0', '0']"
1073,Da Tonia Pizzeria Trattoria,['Dinner'],"#1,111 of 2,742 Restaurants in Naples","Via Diocleziano 317, 80124, Naples Italy",+39 081 1867 6878,https://www.facebook.com/Dicriscit/,16,4.5,Na,Na,"['12', '2', '1', '1', '0']"
1074,La Botteghina,['Breakfast'],"#1,112 of 2,742 Restaurants in Naples","Via Orazio, 106, Naples Italy",+39 081 660516,http://www.labotteghina.eu/,31,4.5,Na,Na,"['5', '3', '2', '0', '0']"
1075,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
1076,N'ata Cosa Mergellina,"['Pizza', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian', ' Italian', ' Barbecue']","#1,113 of 2,742 Restaurants in Naples","Via Mergellina 4, 80122, Naples Italy",+39 333 693 1769,http://www.natacosamergellina.it/,31,4.0,€10 - €60,Na,"['0', '0', '0', '1', '0']"
1077,Otramanera,['Dinner'],"#1,114 of 2,742 Restaurants in Naples","Via Aniello Falcone 192, 80127, Naples Italy",+39 340 191 8049,https://www.facebook.com/otramanera.it/?ref=py_c,39,4.0,Na,Na,"['17', '16', '4', '2', '0']"
1078,BonGou Pub and Grill,"['Fast Food', ' Italian', ' Bar', ' Grill', ' Pub', ' Gastropub']","#1,116 of 2,742 Restaurants in Naples","Via Domenico Fontana 3b, 80128, Naples Italy",+39 081 1870 0415,http://www.bongou.it/wp-content/uploads/2020/12/menudigitale-bongou.pdf,18,4.5,€4 - €12,Na,"['15', '2', '0', '0', '1']"
1079,Casa de Rinaldi,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#1,117 of 2,742 Restaurants in Naples","Via A. e L Sementini 28/34, 80131, Naples Italy",+39 081 546 6119,http://www.derinaldi.it/,154,3.5,Na,Na,"['4', '0', '0', '0', '0']"
1080,Fratelli la Bufala,"['Vegetarian Friendly', ' Vegan Options']","#1,118 of 2,742 Restaurants in Naples","Aereoporto Di Capodichino, Naples Italy",+39 081 751 6274,http://www.fratellilabufala.com/,416,3.5,Na,Na,"['6', '13', '7', '1', '8']"
1081,L’Oca Nera,['Dinner'],"#1,119 of 2,742 Restaurants in Naples","Via Cilea 119, Naples Italy",+39 081 1827 1898,http://www.facebook.com/pg/ocaneraburgerstation,112,3.5,Na,Na,"['2', '0', '1', '0', '0']"
1082,O' Greco,"['Mediterranean', ' Greek']","#1,120 of 2,742 Restaurants in Naples","Via San Sebastiano 18, 80134, Naples Italy",+39 081 1901 3838,http://www.facebook.com/O-Greco-303373466467467/,265,4.0,€4 - €10,Na,"['5', '1', '1', '1', '3']"
1083,Nonna Tittina Caracciolo,"['Lunch', ' Dinner']","#1,121 of 2,742 Restaurants in Naples","Via F. Caracciolo 13, 80122, Naples Italy",+39 081 350 3552,https://nonnatittina.eu/caracciolo/,13,4.5,Na,Na,"['1', '0', '0', '0', '0']"
1084,La Scarpetteria del Tandem,"['Reservations', ' Seating', ' Free Wifi', ' Table Service']","#1,122 of 2,742 Restaurants in Naples","Via San Giovanni Maggiore Pignatelli 1, 80134, Naples Italy",+39 06 3229 8221,http://www.tandem.napoli.it/,67,4.0,Na,Na,"['4', '2', '1', '0', '3']"
1085,San Domenico Cafe,"['Seating', ' Wheelchair Accessible', ' Serves Alcohol', ' Free Wifi', ' Table Service', ' Outdoor Seating', ' Full Bar']","#1,123 of 2,742 Restaurants in Naples","Piazza San Domenico Maggiore 11, Naples Italy",+39 081 020 8784,http://www.sandomenicocafe.it/,196,3.5,Na,Na,"['11', '9', '4', '3', '3']"
1086,Riokohama Sushi,"['Delivery', ' Reservations', ' Seating', ' Free off-street parking', ' Serves Alcohol', ' Wine and Beer', ' Digital Payments', ' Free Wifi', ' Accepts Credit Cards', ' Table Service', ' Takeout', ' Parking Available', ' Valet Parking']","#1,125 of 2,742 Restaurants in Naples","Viale Colli Aminei 148, 80131, Naples Italy",+39 081 743 5716,https://www.facebook.com/Riokohama-Sushi-1743826885658071/,111,4.0,Na,Na,"['1', '0', '0', '1', '0']"
1087,Caffetteria Sfogliatelle e Baba,"['Breakfast', ' Lunch', ' Dinner', ' Drinks']","#1,127 of 2,742 Restaurants in Naples","Via Duomo 175, 80138, Naples Italy",+39 081 1957 9832,http://www.facebook.com/Sfogliababanapoli/,57,4.0,Na,Na,"['7', '1', '0', '0', '0']"
1088,Civico 84,"['Italian', ' Pub', ' Gastropub', ' Southern-Italian']","#1,128 of 2,742 Restaurants in Naples","Via della Stadera 84, 80143, Naples Italy",+39 338 593 4260,https://www.facebook.com/civico___84-101752128302324/,22,4.5,€4 - €12,Na,"['17', '1', '0', '2', '2']"
1089,Binario Borbonico,"['Italian', ' Pizza', ' Mediterranean']","#1,130 of 2,742 Restaurants in Naples","Via Pietrarsa snc Museo nazionale ferroviario di Pietrarsa, 80146, Naples Italy",+39 344 015 8463,http://binarioborbonico.it/,52,4.0,€7 - €50,Na,"['30', '8', '3', '5', '6']"
1090,Al Vigneto D'oro Pizzeria da Rosario,"['Italian', ' Bar', ' Pub']","#1,131 of 2,742 Restaurants in Naples","Via Alessio Mazzocchi 34 Nei Pressi di Piazza Carlo Terzo, 80141, Naples Italy",+39 331 808 2277,http://www.saltinbocca50special.com/,60,4.0,€5 - €35,Na,"['3', '0', '0', '0', '0']"
1091,Taverna Viola,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#1,132 of 2,742 Restaurants in Naples","Via Solfatara 76, 80078, Naples Italy",+39 081 526 9953,http://www.tavernaviola.it/,463,3.5,Na,Na,"['5', '8', '3', '3', '7']"
1092,Maestri Pizzaioli - Michele Condurro,['Vegetarian Friendly'],"#1,133 of 2,742 Restaurants in Naples","Via Luca Giordano 62, 80127, Naples Italy",+39 081 556 2750,https://www.facebook.com/maestripizzaiolimichelecondurro/,240,3.5,Na,Na,"['3', '3', '0', '0', '1']"
1093,Pizzeria da Concettina ai Tre Santi - Ciro Oliva,['Southern-Italian'],"#1,134 of 2,742 Restaurants in Naples","Via Arena della Sanita' 7/Bis, 80137, Naples Italy",+39 081 290037,http://www.pizzeriaoliva.it/,5505,4.0,€12 - €38,Na,"['108', '27', '12', '8', '14']"
1094,Pizza Gourmet Giuseppe Vesi,"['Vegetarian Friendly', ' Vegan Options']","#1,135 of 2,742 Restaurants in Naples","Viale Michelangelo 77-83 Via Caracciolo 13, 80129, Naples Italy",+39 081 229 2227,https://www.facebook.com/pizzagourmetvesi/,1449,3.5,Na,Na,"['8', '6', '4', '1', '0']"
1095,Macelleria Braceria De Luca,['Reservations'],"#1,136 of 2,742 Restaurants in Naples","Via Santa Teresa a Chiaia 46, 80121, Naples Italy",+39 081 415414,https://www.facebook.com/MacelleriaBraceriaDeLuca/,9,5.0,Na,Na,"['9', '0', '0', '0', '0']"
1096,Dialetti,"['Italian', ' Mediterranean']","#1,137 of 2,742 Restaurants in Naples","Vico Satriano 10, 80121, Naples Italy",+39 081 248 1158,https://www.facebook.com/DialettiNapoli/,92,4.0,€5 - €50,Na,"['7', '3', '0', '0', '1']"
1097,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#355 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
1098,Gio's House,['Dinner'],"#1,139 of 2,742 Restaurants in Naples","Strada Statale 87 Sannitica km 9, 80026, Naples Italy",+39 338 872 9618,https://www.facebook.com/gioshouse/,117,4.0,Na,"[18.0, 16.0, 23.0]","['68', '11', '9', '8', '21']"
1099,Red Marrakech,"['Takeout', ' Reservations']","#1,140 of 2,742 Restaurants in Naples","Via Santa Chiara 7, 81100, Naples Italy",+39 389 994 8207,https://www.facebook.com/Red-marrakech-272988039707267/timeline,34,4.0,Na,Na,"['4', '1', '0', '0', '1']"
1100,Rabona Pane e Pallone,['Dinner'],"#1,141 of 2,742 Restaurants in Naples","Via Raffaele Morghen 179, 80129, Naples Italy",+39 081 1838 7847,https://www.facebook.com/rabonapaneepallone/,30,4.0,Na,"[5.0, 4.5, 8.0, 5.0, 6.5, 5.5, 5.5, 6.0, 4.0]","['14', '10', '4', '1', '1']"
1101,La Madrugada Bistrò,['Dinner'],"#1,142 of 2,742 Restaurants in Naples","Via Giacinto Gigante 45 Limitare Mercatino Antignano Al Vomero, 80128, Naples Italy",+39 081 1953 0185,http://www.facebook.com/LaMadrugada.Napoli.Bistrot.Etnico/,121,4.0,Na,Na,"['55', '33', '7', '8', '18']"
1102,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
1103,Buatta,['Vegetarian Friendly'],"#1,144 of 2,742 Restaurants in Naples","Via Filippo Cifariello 14, Naples Italy",+39 349 605 9176,http://www.labuatta.it/,325,3.5,Na,Na,"['7', '0', '0', '0', '1']"
1104,Vinidivini Officina dei Sapori,"['Dinner', ' Brunch']","#1,145 of 2,742 Restaurants in Naples","Via Dell' Epomeo 459, 80126, Naples Italy",+39 081 767 1202,https://www.facebook.com/vinidiviniosteriadeisapori/,14,5.0,Na,"[6.0, 6.0, 15.0]","['13', '0', '1', '0', '0']"
1105,La Posteggia,"['Deli', ' Italian', ' Seafood', ' Mediterranean']","#1,147 of 2,742 Restaurants in Naples","Via Falero 13, 80132, Naples Italy",+39 081 764 4289,http://www.laposteggia.com/,165,3.5,€25 - €100,Na,"['72', '41', '13', '8', '31']"
1106,Ristorante Astroni,"['Pizza', ' Grill', ' Campania', ' Southern-Italian']","#1,148 of 2,742 Restaurants in Naples","Via Agnano Astroni 400 300 metri dall'Oasi del WWF Riserva naturale cratere degli Astroni, 80125, Naples Italy",+39 081 726 1780,http://www.facebook.com/ristoranteastroni/,78,4.0,€13 - €31,"[12.0, 16.0, 8.0, 5.0]","['0', '2', '0', '0', '0']"
1107,Ristorante Trattoria Calisandro,"['Lunch', ' Dinner', ' Drinks']","#1,149 of 2,742 Restaurants in Naples","Vico Tiratoio 5, 80132, Naples Italy",+39 081 213 7662,http://ristorantecalisandro.com/,28,4.5,Na,Na,"['2', '0', '0', '0', '2']"
1108,66 Fusion Bar,"['Dinner', ' Drinks']","#1,150 of 2,742 Restaurants in Naples","Via Bisignano 58, 80121, Naples Italy",+39 081 415024,https://www.facebook.com/66Baretti/,38,4.0,Na,Na,"['3', '1', '1', '0', '1']"
1109,Happening Cocktail Bar,"['Serves Alcohol', ' Seating']","#1,153 of 2,742 Restaurants in Naples","Via Bisignano 2, 80121, Naples Italy",+39 081 1913 3052,http://happeningbar.it/,50,4.5,Na,Na,"['7', '0', '0', '0', '0']"
1110,A Taverna D’O Cuzzetiello,"['Italian', ' Fast Food', ' Mediterranean', ' Deli']","#1,154 of 2,742 Restaurants in Naples","Via Santa Chiara 5, 80134, Naples Italy",+39 339 729 4535,https://www.facebook.com/atavernadocuzzetiello/?hc_ref=ARSMo8IzEb-c22PBGjC12nHoUhd5ac9JrCVFt62tgMtGYe4LJncEGubRnoi5b8m078w,63,4.0,€4 - €20,Na,"['1', '0', '0', '0', '0']"
1111,Sott' e Scale,"['Italian', ' Fast Food']","#1,155 of 2,742 Restaurants in Naples","Rampe San Giovanni Maggiore 2, 80134, Naples Italy",+39 338 804 8391,http://www.facebook.com/SotteScale-986256698119709,20,4.5,€2 - €4,Na,"['15', '4', '1', '0', '0']"
1112,Impastovivo,"['Italian', ' Pizza']","#1,156 of 2,742 Restaurants in Naples","Via Domenico Fontana 18/20, 80128, Naples Italy",+39 081 048 7917,http://www.facebook.com/impastovivo,41,4.0,€4 - €13,Na,"['24', '6', '4', '1', '6']"
1113,O' Scugnizzo,"['Lunch', ' Dinner', ' Late Night']","#1,157 of 2,742 Restaurants in Naples","Via Nicola Ricciardi 5, 80123, Naples Italy",+39 81769 0301,http://oscugnizzos.com/about/,163,3.5,Na,Na,"['13', '4', '0', '1', '0']"
1114,Antico Caseificio Petrella,"['Italian', ' European', ' Deli']","#1,160 of 2,742 Restaurants in Naples","Via Tommaso de Amicis 58 Di Fronte Al Nuovo Policlinico, 80145, Naples Italy",+39 081 770 5678,https://www.facebook.com/anticocaseificiopetrella/,15,5.0,€6 - €20,Na,"['14', '1', '0', '0', '0']"
1115,O spass dal 1945,"['Takeout', ' Wheelchair Accessible']","#1,162 of 2,742 Restaurants in Naples","Via Nuova Poggioreale 189/190, 80143, Naples Italy",+39 081 284204,https://www.facebook.com/Ospass-UNICA-SEDE-1945-916281118422587/,23,4.5,Na,Na,"['16', '6', '1', '0', '0']"
1116,Trattoria Da Ninnone,"['Reservations', ' Table Service']","#1,163 of 2,742 Restaurants in Naples","Via Speranzella 57, 80132, Naples Italy",+39 081 016 8636,https://trattoriadaninnone.weebly.com/contatti.html,22,4.5,Na,"[10.0, 20.0, 10.0]","['18', '1', '0', '0', '3']"
1117,Ristorante ‘A Mar,"['Lunch', ' Dinner']","#1,165 of 2,742 Restaurants in Naples","Via Eldorado 4, 80132, Naples Italy",+39 081 764 9993,https://www.ristoranteomar.com/,91,3.5,Na,Na,"['3', '4', '0', '0', '3']"
1118,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
1119,O' Cerriglio Trattoria Tipica,['Vegetarian Friendly'],"#1,168 of 2,742 Restaurants in Naples","Via San Biagio 13, 80134, Naples Italy",+39 081 790 1533,http://www.locandadelcerriglio.it/,877,3.5,Na,"[5.0, 9.0, 5.0]","['27', '23', '11', '8', '17']"
1120,Sea’s Friends,['Lunch'],"#1,171 of 2,742 Restaurants in Naples","Via Giuseppe Martucci, 80121, Naples Italy",+39 081 1881 7327,http://www.facebook.com/Seas-Friends-2832527186772354/,26,4.5,Na,Na,"['18', '4', '1', '0', '3']"
1121,Biergarten Pub,"['Dinner', ' Late Night']","#1,172 of 2,742 Restaurants in Naples","Via Preti n 10, Naples Italy",+39 081 556 8932,http://www.biergarten.it/sito/index.html,251,3.5,Na,Na,"['79', '72', '44', '23', '33']"
1122,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#355 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
1123,Ristorante Pizzeria Hachè,"['Vegetarian Friendly', ' Vegan Options']","#1,173 of 2,742 Restaurants in Naples","Via Partenope 6/D, 80121, Naples Italy",+39 081 1932 0287,http://www.ristorantehache.it/,653,3.5,Na,"[4.0, 10.0, 10.0]","['13', '18', '4', '6', '17']"
1124,Da Corrado,"['Lunch', ' Dinner', ' Late Night']","#1,174 of 2,742 Restaurants in Naples","Via Michele Tenore 3, 80137, Naples Italy",+39 081 1822 6668,http://www.ristorantedacorrado.it/,787,3.5,Na,Na,"['5', '6', '2', '1', '1']"
1125,Donnanna,"['Dinner', ' Lunch', ' Late Night']","#1,176 of 2,742 Restaurants in Naples","Via Posillipo 16 C, 80123, Naples Italy",+ Add phone number,http://www.donnanna.it/,32,4.5,Na,Na,"['17', '10', '5', '0', '0']"
1126,Pizzeria La Gastronomica,"['Italian', ' Pizza', ' Mediterranean']","#1,177 of 2,742 Restaurants in Naples","Via Giovanni Porzio 4 Centrodirezionale Isola E4 Int 21, 80143, Naples Italy",+39 081 1867 6379,https://www.facebook.com/Pinopino.pizzeria/,21,4.5,€5 - €10,Na,"['1', '0', '0', '0', '0']"
1127,SoloPizza,"['Vegetarian Friendly', ' Vegan Options']","#1,178 of 2,742 Restaurants in Naples","Via Medina 55, 80133, Naples Italy",+39 081 551 6942,http://www.solopizza.com/,660,3.5,Na,Na,"['29', '23', '11', '2', '5']"
1128,La Piazzetta Pizza Food And Drink,['Vegetarian Friendly'],"#1,179 of 2,742 Restaurants in Naples","Via Nazario Sauro 21/22 Lungomare di S. Lucia, 80132, Naples Italy",+39 081 764 6195,http://www.lapiazzettanapoli.com/,695,3.5,Na,Na,"['7', '19', '12', '10', '19']"
1129,Plaza Cafe,"['Italian', ' Cafe']","#1,181 of 2,742 Restaurants in Naples","Piazzetta Cariati 4/5, 80132, Naples Italy",+39 081 1857 5264,https://www.facebook.com/plazacafenapoli/,14,5.0,€15 - €20,Na,"['7', '0', '0', '0', '0']"
1130,Ohana Pokè Napoli,"['Japanese', ' Hawaiian', ' Japanese Fusion', ' Italian']","#1,182 of 2,742 Restaurants in Naples","Via Massimo Stanzione 14/i, 80127, Naples Italy",+39 081 076 3962,http://www.ohanapokenapoli.it/,20,4.5,€10 - €40,"[8.0, 4.0, 4.0]","['12', '5', '1', '1', '1']"
1131,O Pizzaiuolo Guglielmo Vuolo,['Vegetarian Friendly'],"#1,183 of 2,742 Restaurants in Naples","Via Brin, 69, 80100, Naples Italy",+39 081 563 6303,http://www.eccellenzecampane.it/le-aziende/o-pizzaiuolo-guglielmo-vuolo,58,4.0,Na,Na,"['0', '1', '0', '0', '0']"
1132,DoppioZero - Bar & Tavola Calda,['Italian'],"#1,185 of 2,742 Restaurants in Naples","Via Giulio Cesare 28/30, 80125, Naples Italy",+39 081 1918 0613,http://www.doppiozerosas.net/,28,4.5,€7 - €15,Na,"['21', '4', '2', '0', '1']"
1133,Il Mastro Fornaio SRL,"['Vegetarian Friendly', ' Vegan Options']","#1,186 of 2,742 Restaurants in Naples","Viale Farnese 4, Naples Italy",+39 081 743 5804,https://www.facebook.com/pages/Il-Mastro-Fornaio/157430190956828?ref=hl,16,4.5,Na,Na,"['11', '5', '0', '0', '0']"
1134,DonnaMari - Gastronomy and Grill,"['Steakhouse', ' Mediterranean', ' European', ' Deli', ' Grill']","#1,189 of 2,742 Restaurants in Naples","Via Francesco Cilea 16, 80127, Naples Italy",+39 081 556 2432,http://www.facebook.com/donnamarivomero/,25,4.5,€25 - €25,Na,"['1', '0', '0', '0', '0']"
1135,Chupa Fruit Bar,"['Vegetarian Friendly', ' Vegan Options']","#1,190 of 2,742 Restaurants in Naples","Via Giovanni Merliani 34, 80127, Naples Italy",+39 081 1955 8995,http://www.facebook.com/ChiquitaFruitBarVomero,41,4.0,Na,Na,"['17', '15', '5', '3', '1']"
1136,Ristorante al Rifugio,['Vegetarian Friendly'],"#1,191 of 2,742 Restaurants in Naples","Via San Gennaro Ad Antignano 119, 80129, Naples Italy",+39 081 229 2213,http://www.facebook.com/pages/Osteria-Al-Rifugio/158066877671000,278,3.5,Na,"[6.0, 18.0, 8.0]","['2', '1', '2', '0', '0']"
1137,Donnaromita srl,"['Vegetarian Friendly', ' Vegan Options']","#1,192 of 2,742 Restaurants in Naples","Vico Donnaromita 16bis, 80134, Naples Italy",+39 081 1851 5074,http://www.facebook.com/donnaromita14,29,4.0,Na,Na,"['1', '0', '0', '0', '0']"
1138,Masa Pizza,"['Italian', ' Pizza', ' Gastropub']","#1,193 of 2,742 Restaurants in Naples","Via Diocleziano 312 D'ifronte Hotel Cristina, 80125, Naples Italy",+39 389 459 0148,https://www.facebook.com/TappostDiScherilloGiuseppe/,25,4.5,€2 - €10,Na,"['3', '0', '0', '0', '0']"
1139,Trattoria Marino,"['Italian', ' Mediterranean']","#1,195 of 2,742 Restaurants in Naples","Via Marino Turchi 3, 80132, Naples Italy",+39 081 764 8991,http://www.trattoriamarino.altervista.org/,108,4.0,€4 - €8,Na,"['2', '2', '1', '1', '0']"
1140,Caldarelli Dolce e Salato,['Breakfast'],"#1,197 of 2,742 Restaurants in Naples","Piazza Trieste E Trento 52, 80132, Naples Italy",+ Add phone number,https://www.facebook.com/Caldarelli-Dolce-e-Salato-Napoli-100512441426141/,18,4.5,Na,Na,"['11', '3', '3', '1', '0']"
1141,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#355 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
1142,Gastronomia Arfe antica tradizione partenopea,"['Breakfast', ' Lunch', ' Dinner', ' Drinks']","#1,199 of 2,742 Restaurants in Naples","Via Giacomo Piscicelli 37, 80121, Naples Italy",+39 081 669153,http://www.gastronomia-arfe.it/,17,4.5,Na,Na,"['15', '1', '0', '0', '1']"
1143,Fratelli Matteo Pub & Beer,['Italian'],"#1,200 of 2,742 Restaurants in Naples","Via Giorgio Arcoleo 21/23, 80121, Naples Italy",+39 081 341 0763,http://www.facebook.com/Fratelli-Matteo-Pub-Beer-1615058968822452,19,5.0,€5 - €16,Na,"['1', '0', '0', '0', '0']"
1144,Cervantes,"['Vegetarian Friendly', ' Vegan Options']","#1,201 of 2,742 Restaurants in Naples","Via Cervantes, 39/41, Naples Italy",+39 331 147 5173,http://www.barcervantes.it/Default.aspx,38,4.0,Na,Na,"['1', '1', '1', '0', '0']"
1145,Kirin Sushi,"['Reservations', ' Seating', ' Table Service']","#1,202 of 2,742 Restaurants in Naples","Calata San Marco 15, 80133, Naples Italy",+39 081 551 2308,http://www.kirinsushi.it/,16,4.5,Na,Na,"['0', '1', '0', '1', '0']"
1146,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
1147,Araneus Pub,['Dinner'],"#1,203 of 2,742 Restaurants in Naples","Piazza Nazionale, 80143, Naples Italy",+39 081 554 6397,http://www.facebook.com/pages/Araneus-pub/245144022356862,37,4.0,Na,Na,"['21', '8', '6', '0', '2']"
1148,Ristorante La Siesta,['Vegetarian Friendly'],"#1,205 of 2,742 Restaurants in Naples","150 Via Madonnelle, 80147, Naples Italy",+39 081 773 2071,http://www.facebook.com/La-Siesta-restaurant-and-pizzeria-797708126980901/,69,4.0,Na,Na,"['1', '0', '0', '0', '0']"
1149,Antica Pizzeria Aiello,"['Seafood', ' Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#1,207 of 2,742 Restaurants in Naples","Via Santa Maria di Costantinopoli 2, 80138, Naples Italy",+39 081 033 2074,http://www.aielloristorantepizzeria.it/,195,3.5,€10 - €30,Na,"['3', '4', '0', '1', '1']"
1150,Gastronomia Amoroso,"['Lunch', ' Dinner', ' Late Night']","#1,208 of 2,742 Restaurants in Naples","Via Lungo Lago 8, 80070, Naples Italy",+39 392 444 6320,http://www.facebook.com/gastronomia.amoroso,46,4.0,Na,Na,"['1', '0', '0', '0', '1']"
1151,Centrale del Caffè,['Breakfast'],"#1,209 of 2,742 Restaurants in Naples","Piazza Giuseppe Garibaldi 134, 80142, Naples Italy",+39 081 1956 4808,http://www.centraledelcaffe.it/locali/,22,4.0,Na,Na,"['0', '3', '1', '0', '0']"
1152,Club Nautico della Vela,"['Breakfast', ' Lunch', ' Dinner', ' Drinks']","#1,211 of 2,742 Restaurants in Naples","Piazzetta Marinari 12 Borgo Marinaro, 80132, Naples Italy",+39 081 1930 6119,http://nautico1901.it/,30,4.0,Na,Na,"['0', '0', '0', '1', '2']"
1153,Capatoast,"['Italian', ' International', ' Fast Food']","#1,212 of 2,742 Restaurants in Naples","Via Giosue' Carducci 31, 80121, Naples Italy",+39 081 851 1110,http://www.capatoast.it/,46,4.0,€3 - €8,Na,"['16', '16', '7', '4', '3']"
